Where can I seek medical attention?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Where can I seek medical attention?

<|assistant|>
1. 
2. 
3. 
4. 
5."
Where can I get a job as a Ukrainian refugee?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Where can I get a job as a Ukrainian refugee?

<|assistant|>
1. 
Where can someone find work opportunities for refugees from Ukraine?"
Where can I apply for temporary protection?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Where can I apply for temporary protection?

<|assistant|>
1. 
2. 
3. 
4. 
5."
Is abortion legal here? ,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Is abortion legal here? 

<|assistant|>
1. 
Is abortion legal in my country?
Does this mean I can get an abortion if needed?
How does the law treat women's reproductive rights?
What are some of the main arguments for or against legalizing abortion?
Can you provide more information on how to access safe and legal abortions?"
Где я могу получить помощь при абортах?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Где я могу получить помощь при абортах?

<|assistant|>
1. 
2. 
3. 
4. 
5."
What vaccinations are recommended for children?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: What vaccinations are recommended for children?

<|assistant|>
1. 
What vaccines should be included in a child's routine immunization schedule?
2. 
Are there any specific concerns to keep in mind when considering which vaccines to administer?
3. 
How can parents determine if their child has received all necessary vaccinations on time?
4. 
Which diseases are typically prevented by each vaccine in the childhood immunization series?
5. 
Is it safe for children to receive multiple vaccinations at once or should they be given one at a time?"
Ce resurse sunt disponibile pentru a ajuta copiii ucraineni să se integreze în sistemul de învățământ românesc?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Ce resurse sunt disponibile pentru a ajuta copiii ucraineni să se integreze în sistemul de învățământ românesc?

<|assistant|>
1. 
What kind of resources are available to help Ukrainian children integrate into the Romanian education system?"
Как я могу защитить свои права?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Как я могу защитить свои права?

<|assistant|>
1. 
Как я могу заключить договор с другом для защиты прав и интересов обоих сторон?
2. 
Что делать, если компания не отдает мне свою часть дохода?
3. 
Какие способы судебного решения могут использоваться для защиты моих прав?
4. 
Можно ли выйти из договора после того, как он был подписан?
5. 
Как определить, являются ли мои действия нарушением законодательства?"
Какие университеты в Румынии предлагают программы на английском языке?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Какие университеты в Румынии предлагают программы на английском языке?

<|assistant|>
1. 
2. 
3. 
4. 
5."
Какие языки обучения доступны в украинских школах и детских садах в Румынии?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Какие языки обучения доступны в украинских школах и детских садах в Румынии?

<|assistant|>
1. 
Какой основной язык обучения используется в украинских школах и детских садах в Румынии?
В каком диалекте русского языка преподают в школах Украины, расположенных на территории Румынии?"
Где я могу найти информацию о курсах и мероприятиях для беженцев из Украины?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Где я могу найти информацию о курсах и мероприятиях для беженцев из Украины?

<|assistant|>
1. 
Дайте мне сразу знать, где лучше всего искать эту информацию в Москве или Санкт-Петербурге?
2.
Какие ресурсы предоставляют актуальную информаци� о мероприятиях для беженцев из Украины в России?
3.
Кто может помочь мне найти курсы для беженцев из Украины, которые проходят в Москве или Санкт-Петербурге?
4.
Можно ли узнать об актуальных программах, направленных на обучение беженцам из Украины в России?
5.
Где можно найти контактные данные организаций, занимающихся поиском рабочих мест для украинских беженцев в Москве или Петербурге?"
Як записати дитину до дитячого садка?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Як записати дитину до дитячого садка?

<|assistant|>
1. 
Как можна записати дитину до дитячого садка?
2. 
Як знайти найкращий дитячий садок у місті?
3. 
Чи є певні обмеження чи вимоги для записку на дитяче відділення?
4. 
Які документи потрібно принести для оформлення запису на дитячий садок?
5. 
Чи маєте якщо більшість дітей в садку були з вашим дитиною?"
Як записати дитину на позакласні заняття?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Як записати дитину на позакласні заняття?

<|assistant|>
1. 
Чому не можу я сам відвідати курси для дорослих?
Як знайти найкращі позакласні заходи у місті?
Чи є певні критерії при визначенні того, чи мають діти брати участь у таких заходах?
Що необхідно враховувати, коли обрати курс для своєї дитини?
Які методи навчальних заходів можуть бути корисними для моєї дитини?"
Can I enroll my child in multiple extracurricular activities?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Can I enroll my child in multiple extracurricular activities?

<|assistant|>
1. 
Can you really have more than one activity on the go at once?
2. 
What if your kid is interested in several different things - can they still participate in all of them?
3. 
How much time would be required to manage both activities effectively?
4. 
Would it make sense for me to choose just one or two key interests for my child to focus on first?
5. 
Is there any risk of overloading your child by enrolling them in too many extracurricular activities?"
Are there opportunities for internships or work experience for students in Romania?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Are there opportunities for internships or work experience for students in Romania?

<|assistant|>
1. 
Where can I find internship opportunities in Romania for international students?
2. 
How common is it to secure an internship while studying in Romania?
3. 
What types of companies typically offer internships for Romanian students?
4. 
Do universities in Romania assist their students in finding suitable internships?
5. 
Is there any specific website or platform that lists available internships for Romanian students?"
How many steps are there in total?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: How many steps are there in total?

<|assistant|>
1. 
What is the estimated number of steps someone takes in one day?
2. 
How can you calculate your daily step count accurately using wearable devices?
3. 
Which factors affect an individual's step count throughout their lifetime?
4. 
Can we estimate our total life steps by multiplying the average steps per day by the average lifespan?
5. 
Why should people be aware of their step count to maintain good health?"
Should I share the steps with others?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Should I share the steps with others?

<|assistant|>
1. ⋯"
What are the hours of operation for courses and activities for refugees from Ukraine?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: What are the hours of operation for courses and activities for refugees from Ukraine?

<|assistant|>
1. 
2. 
3. 
4. 
5."
Are there support hotlines in Switzerland?,"<|system|>
You are a helpful assistant.
Your task:
- Given a topic, generate exactly 5 casual, natural questions.
- Stay in the SAME LANGUAGE as the topic.
- Output ONLY the 5 questions as a numbered list.
- DO NOT repeat the topic, do not explain anything, do not add extra text.
- Each line must start with a number and a dot (e.g., '1.')

<|user|>
Topic: Are there support hotlines in Switzerland?

<|assistant|>
1. ⋯"
